Timestamp,ContactCount,Sensor1,Sensor2,Sensor3,Sensor4,Sensor5,Sensor6,WeightSensorAvg,Weight
2025-05-13 12:08:52,4,195,509,551,531,838,849,529.78,169.5
2025-05-13 12:08:54,2,957,746,573,530,830,839,548.54,124.75
2025-05-13 12:08:56,2,992,757,580,522,850,863,540.94,142.88
2025-05-13 12:08:58,2,1003,751,593,530,845,869,542.22,139.82
2025-05-13 12:09:02,2,1003,740,583,522,858,863,538.58,148.51
2025-05-13 12:09:04,2,993,734,581,524,856,854,531.86,164.54
2025-05-13 12:09:06,2,1004,719,568,508,834,836,517.0,199.99
2025-05-13 12:09:09,2,960,708,574,531,871,875,541.18,142.3
2025-05-13 12:09:11,2,979,721,563,496,807,815,507.5,222.65
2025-05-13 12:09:13,2,1006,758,572,525,856,860,537.42,151.27
2025-05-13 12:09:15,2,957,721,543,503,832,827,521.08,190.26
2025-05-13 12:09:17,2,965,735,546,508,823,838,515.42,203.76
2025-05-13 12:09:19,2,981,749,565,526,842,847,529.24,170.79
2025-05-13 12:09:32,3,922,255,462,525,847,860,537.7,150.61
2025-05-13 12:09:34,2,932,733,578,517,872,875,537.7,150.61
2025-05-13 12:09:36,2,989,734,556,515,833,873,533.92,159.62
2025-05-13 12:09:38,2,992,731,553,501,831,848,523.78,183.81
2025-05-13 12:09:40,3,196,723,572,503,840,846,529.94,169.12
2025-05-13 12:09:42,2,961,715,562,528,875,874,526.54,177.23
2025-05-13 12:09:44,2,976,721,558,498,844,861,522.48,186.92
2025-05-13 12:09:46,2,997,725,560,516,859,852,520.26,192.21
2025-05-13 12:09:48,2,981,712,550,508,857,865,521.36,189.59
2025-05-13 12:09:50,2,981,710,541,503,834,835,510.64,215.16
2025-05-13 12:09:52,2,1004,727,555,514,838,848,527.0,176.13
2025-05-13 12:09:55,2,996,726,543,518,872,876,539.8,145.6
2025-05-13 12:09:57,2,998,753,573,529,888,887,542.76,138.53
2025-05-13 12:09:59,2,1023,776,581,534,887,897,552.18,116.06
2025-05-13 12:10:01,2,1003,766,565,524,843,882,546.52,129.56
2025-05-13 12:10:03,2,1005,786,573,524,844,873,546.64,129.28
2025-05-13 12:10:05,2,994,769,559,522,845,876,551.78,117.02
2025-05-13 12:10:07,2,983,760,557,522,839,865,548.36,125.17
2025-05-13 12:10:09,2,985,768,565,523,832,853,546.36,129.95
2025-05-13 12:10:11,2,993,762,566,530,836,874,553.42,113.1
2025-05-13 12:10:13,2,994,764,566,532,891,886,549.9,121.5
2025-05-13 12:10:15,2,934,696,566,524,880,851,508.56,220.13
2025-05-13 12:10:18,2,986,721,530,502,834,848,510.66,215.12
2025-05-13 12:10:20,2,988,723,534,495,860,853,530.06,168.83
2025-05-13 12:10:22,2,1003,734,587,532,914,890,537.9,150.13
2025-05-13 12:10:24,2,1001,721,586,549,940,901,545.64,131.66
2025-05-13 12:10:26,2,1021,768,575,538,899,891,555.28,108.67
2025-05-13 12:10:30,2,1019,796,580,535,885,886,546.84,128.8
2025-05-13 12:10:32,2,1017,777,578,538,888,893,556.28,106.28
2025-05-13 12:10:34,2,1021,776,582,539,895,901,558.0,102.18
2025-05-13 12:10:36,2,1012,759,591,538,936,913,571.8,69.25
2025-05-13 12:10:39,2,1011,733,594,542,923,897,555.94,107.09
2025-05-13 12:10:41,2,988,722,581,524,896,878,542.42,139.35
2025-05-13 12:10:43,2,1008,724,578,540,905,883,553.24,113.53
2025-05-13 12:10:45,2,1022,725,582,544,919,886,556.44,105.9
2025-05-13 12:10:47,2,1023,718,575,540,915,876,509.7,217.41
2025-05-13 12:10:49,2,1001,696,549,519,887,854,532.6,162.77
2025-05-13 12:10:51,2,995,691,558,525,887,852,537.48,151.13
2025-05-13 12:10:53,2,1009,692,563,523,865,830,538.76,148.08
2025-05-13 12:10:55,2,985,677,554,515,890,852,537.04,152.18
2025-05-13 12:10:57,2,1006,691,567,518,892,858,547.5,127.23
2025-05-13 12:11:02,2,981,668,551,515,873,862,540.72,143.4
2025-05-13 12:11:04,2,1006,692,563,525,887,860,527.48,174.99
2025-05-13 12:11:06,2,1011,695,563,525,894,866,547.94,126.18
2025-05-13 12:11:08,2,1007,691,561,523,889,861,545.06,133.05
2025-05-13 12:11:10,2,1000,691,558,521,890,858,543.3,137.25
2025-05-13 12:11:12,2,998,689,556,517,882,852,548.32,125.27
2025-05-13 12:11:14,2,964,666,558,507,875,862,536.66,153.09
2025-05-13 12:11:18,3,789,0,243,512,868,821,529.38,170.46
2025-05-13 12:11:20,2,1003,682,565,528,892,869,550.58,119.88
2025-05-13 12:11:22,2,960,636,534,509,864,849,535.08,156.86
2025-05-13 12:11:25,2,1007,692,569,528,889,839,530.26,168.36
2025-05-13 12:11:27,2,970,667,545,509,862,833,528.78,171.89
2025-05-13 12:11:33,2,989,695,575,540,901,876,534.2,158.96
2025-05-13 12:11:37,3,737,333,554,524,837,857,543.38,137.06
2025-05-13 12:11:39,2,1015,694,578,535,891,868,547.32,127.66
2025-05-13 12:11:41,2,1013,698,574,531,884,865,540.46,144.02
2025-05-13 12:11:43,2,1014,719,587,550,929,883,558.56,100.84
2025-05-13 12:11:48,2,968,825,575,524,828,909,560.32,96.64
2025-05-13 12:11:50,2,1022,775,590,531,878,905,535.2,156.57
2025-05-13 12:11:54,2,992,768,558,515,880,906,547.66,126.84
2025-05-13 12:11:58,2,1022,776,561,529,873,908,545.42,132.19
2025-05-13 12:12:02,2,1022,779,571,527,886,911,545.84,131.19
2025-05-13 12:12:04,2,1021,754,556,519,880,905,538.26,149.27
