Timestamp,ContactCount,Sensor1,Sensor2,Sensor3,Sensor4,Sensor5,Sensor6,WeightSensorAvg,Weight
2025-05-13 10:03:54,2,919,734,588,534,639,847,557.14,104.23
2025-05-13 10:04:12,2,909,761,586,542,648,865,560.04,97.31
2025-05-13 10:04:15,2,912,760,595,553,653,871,567.14,80.37
2025-05-13 10:04:25,2,927,722,591,526,623,846,551.18,118.45
2025-05-13 10:04:27,3,836,668,521,485,592,790,528.54,172.46
2025-05-13 10:04:29,3,853,683,534,495,595,784,534.3,158.72
2025-05-13 10:04:31,2,872,685,538,503,601,784,531.7,164.92
2025-05-13 10:04:33,3,855,674,527,484,582,772,528.98,171.41
2025-05-13 10:04:35,2,909,723,565,521,626,831,566.16,82.71
2025-05-13 10:04:38,2,916,724,564,523,630,833,566.94,80.85
2025-05-13 10:06:35,1,992,764,600,549,662,876,552.14,116.16
2025-05-13 10:06:37,2,935,718,571,522,634,842,513.1,209.29
2025-05-13 10:06:39,2,937,719,572,527,638,851,532.5,163.01
2025-05-13 10:06:54,2,933,690,582,526,639,841,509.86,217.02
2025-05-13 10:06:56,2,917,682,556,514,625,831,501.62,236.68
2025-05-13 10:07:31,2,869,775,598,564,679,904,554.3,111.0
2025-05-13 10:07:33,1,894,792,612,569,671,903,568.92,76.12
2025-05-13 10:07:36,2,887,772,588,548,661,882,556.98,104.61
2025-05-13 10:07:38,2,885,766,586,539,637,860,542.24,139.77
2025-05-13 10:07:40,2,865,740,583,542,656,896,558.4,101.22
2025-05-13 10:07:42,2,862,731,589,553,658,887,543.06,137.82
2025-05-13 10:07:44,2,884,764,598,555,660,891,557.9,102.41
2025-05-13 10:07:46,2,881,758,594,555,659,890,548.54,124.75
2025-05-13 10:07:48,2,840,717,568,525,632,849,529.28,170.69
2025-05-13 10:07:50,2,836,715,564,524,626,843,539.14,147.17
2025-05-13 10:07:52,2,848,725,566,528,634,857,539.56,146.17
2025-05-13 10:07:54,2,839,707,550,528,638,864,537.62,150.8
2025-05-13 10:07:56,2,840,721,566,531,630,852,536.84,152.66
2025-05-13 10:07:59,2,869,722,561,533,634,854,538.96,147.6
2025-05-13 10:08:01,2,840,717,560,523,625,847,530.18,168.55
2025-05-13 10:08:03,2,834,715,556,520,625,847,528.7,172.08
2025-05-13 10:08:05,2,835,721,559,524,625,847,529.22,170.84
2025-05-13 10:08:07,2,833,715,554,519,619,841,527.76,174.32
2025-05-13 10:08:09,2,831,713,554,521,623,841,527.94,173.89
2025-05-13 10:08:11,2,832,713,553,522,622,842,528.06,173.6
2025-05-13 10:08:13,2,828,716,553,517,622,842,526.48,177.37
2025-05-13 10:08:15,2,827,712,554,520,621,840,526.7,176.85
2025-05-13 10:08:17,2,830,712,554,520,621,836,529.88,169.26
2025-05-13 10:08:19,2,843,723,562,523,627,851,528.38,172.84
2025-05-13 10:08:22,2,834,714,557,521,622,845,528.0,173.75
2025-05-13 10:08:24,2,836,717,556,521,624,852,531.56,165.25
2025-05-13 10:08:26,2,838,717,558,525,625,850,531.82,164.63
2025-05-13 10:08:28,2,838,715,558,525,626,848,540.04,145.02
2025-05-13 10:08:30,2,840,715,556,524,626,847,531.12,166.3
2025-05-13 10:08:32,2,840,715,555,524,625,850,531.18,166.16
2025-05-13 10:08:34,2,837,715,556,523,623,846,528.04,173.65
2025-05-13 10:08:36,2,833,714,554,521,620,841,528.2,173.27
2025-05-13 10:08:38,2,828,704,550,518,618,838,525.52,179.66
2025-05-13 10:08:40,2,830,708,549,518,618,840,534.6,158.0
2025-05-13 10:08:42,2,831,708,550,517,619,840,526.56,177.18
2025-05-13 10:08:45,2,828,707,550,516,616,837,526.08,178.33
2025-05-13 10:08:47,2,833,710,551,518,618,842,526.96,176.23
2025-05-13 10:08:49,2,832,709,553,521,622,841,527.76,174.32
2025-05-13 10:08:51,2,835,712,550,521,621,845,527.52,174.89
2025-05-13 10:08:53,2,832,716,554,522,623,847,528.16,173.37
2025-05-13 10:08:55,2,838,718,557,518,623,851,530.48,167.83
2025-05-13 10:08:57,2,834,713,554,518,617,842,525.16,180.52
2025-05-13 10:08:59,2,832,708,552,518,621,842,526.5,177.33
2025-05-13 10:09:01,2,837,711,551,518,619,843,526.52,177.28
2025-05-13 10:09:03,2,842,716,549,514,618,840,524.78,181.43
2025-05-13 10:09:06,2,831,715,549,518,614,841,531.52,165.35
2025-05-13 10:09:08,2,836,712,553,515,614,841,526.24,177.95
2025-05-13 10:09:10,2,841,716,556,525,625,849,525.46,179.81
2025-05-13 10:09:12,2,839,710,551,517,619,838,523.74,183.91
2025-05-13 10:09:14,2,824,704,548,513,616,839,525.32,180.14
