Timestamp,ContactCount,Sensor1,Sensor2,Sensor3,Sensor4,Sensor5,Sensor6,WeightSensorAvg,Weight
2025-05-13 11:45:29,2,995,778,591,554,650,852,559.56,98.45
2025-05-13 11:45:44,2,1023,769,578,546,660,886,547.94,126.18
2025-05-13 11:45:46,2,1020,761,587,534,644,869,549.44,122.6
2025-05-13 11:45:54,2,1023,781,585,543,657,887,548.24,125.46
2025-05-13 11:45:56,2,1023,817,591,554,666,886,564.14,87.53
2025-05-13 11:45:58,2,1023,800,578,545,657,884,561.24,94.45
2025-05-13 11:46:00,2,1022,792,573,542,656,880,561.16,94.64
2025-05-13 11:46:02,2,1023,809,579,547,663,888,563.5,89.05
2025-05-13 11:46:05,2,1022,799,573,545,660,885,563.84,88.24
2025-05-13 11:46:07,2,1023,805,576,546,660,887,562.84,90.63
2025-05-13 11:46:09,2,1006,762,561,542,646,871,557.16,104.18
2025-05-13 11:46:11,2,1022,791,572,545,650,872,555.12,109.05
2025-05-13 11:46:13,2,1007,773,562,539,646,870,556.2,106.47
2025-05-13 11:46:15,2,1021,780,570,538,649,877,557.1,104.32
2025-05-13 11:46:17,2,1022,787,570,539,652,876,557.96,102.27
2025-05-13 11:46:19,2,1022,788,566,534,648,874,556.18,106.52
2025-05-13 11:46:21,2,1017,784,565,534,648,874,556.18,106.52
2025-05-13 11:46:23,2,1022,787,569,546,650,878,557.6,103.13
2025-05-13 11:46:25,2,1023,784,571,543,651,877,556.88,104.85
2025-05-13 11:46:28,2,1021,787,569,543,651,876,557.54,103.27
2025-05-13 11:46:30,2,1023,791,568,543,653,878,557.98,102.22
2025-05-13 11:46:32,2,1023,793,570,542,654,877,557.86,102.51
2025-05-13 11:46:34,2,1023,792,569,542,652,875,556.74,105.18
2025-05-13 11:46:36,2,1022,790,567,540,652,875,557.0,104.56
2025-05-13 11:46:38,2,1023,795,565,540,652,876,558.48,101.03
2025-05-13 11:46:40,2,1022,789,565,538,651,875,558.42,101.17
2025-05-13 11:46:42,2,1022,792,567,539,651,876,556.86,104.9
2025-05-13 11:46:44,2,1022,796,568,540,652,876,556.62,105.47
2025-05-13 11:46:46,2,1023,792,567,538,651,876,557.3,103.85
2025-05-13 11:46:51,2,988,766,555,537,649,875,557.74,102.8
2025-05-13 11:46:55,2,1009,773,552,530,637,856,543.72,136.24
2025-05-13 11:46:57,2,1008,777,557,535,639,860,545.0,133.19
2025-05-13 11:46:59,2,1008,781,561,535,641,864,548.1,125.79
2025-05-13 11:47:01,2,1023,763,591,541,656,880,556.96,104.66
2025-05-13 11:47:03,2,1023,756,579,535,657,878,553.14,113.77
2025-05-13 11:47:05,2,1023,756,572,524,638,862,546.18,130.38
2025-05-13 11:47:07,2,1023,774,585,545,658,888,566.04,83.0
2025-05-13 11:47:09,2,1023,800,586,556,664,889,565.04,85.38
2025-05-13 11:47:12,2,1023,785,580,549,665,888,563.86,88.2
2025-05-13 11:47:14,2,1023,780,585,554,662,888,562.62,91.15
2025-05-13 11:47:16,2,1023,781,582,551,658,888,562.18,92.2
2025-05-13 11:47:18,2,1023,774,578,548,656,884,560.88,95.31
2025-05-13 11:47:20,2,1023,787,587,552,659,891,562.38,91.73
2025-05-13 11:47:22,2,1023,791,581,551,662,890,560.28,96.74
2025-05-13 11:47:24,2,1023,779,583,551,654,890,559.36,98.93
2025-05-13 11:47:26,2,1023,789,579,542,655,883,557.88,102.46
2025-05-13 11:47:28,2,1022,783,566,532,649,876,555.5,108.14
2025-05-13 11:47:30,2,1013,776,562,530,640,867,551.2,118.4
2025-05-13 11:47:32,2,1020,790,578,545,656,891,565.52,84.24
2025-05-13 11:47:35,2,1023,764,576,534,656,880,548.56,124.7
2025-05-13 11:47:37,2,1023,785,593,550,659,891,564.58,86.48
2025-05-13 11:47:39,2,1023,786,577,552,657,882,560.88,95.31
2025-05-13 11:47:41,2,1023,783,574,546,656,880,558.7,100.51
2025-05-13 11:47:43,2,1023,780,562,530,636,862,548.54,124.75
2025-05-13 11:47:45,2,1023,788,570,543,650,874,557.3,103.85
2025-05-13 11:47:47,2,1022,798,585,548,652,877,563.34,89.44
2025-05-13 11:47:49,2,1022,804,572,545,653,881,567.06,80.56
2025-05-13 11:47:51,2,1023,822,589,545,658,892,567.42,79.7
2025-05-13 11:47:53,2,1023,802,570,539,651,881,563.8,88.34
2025-05-13 11:47:55,2,1023,795,564,536,648,875,561.22,94.49
2025-05-13 11:47:58,2,1023,796,563,533,648,876,561.2,94.54
2025-05-13 11:48:00,2,1023,793,565,533,647,875,559.98,97.45
2025-05-13 11:48:02,2,1023,792,564,537,649,882,561.26,94.4
2025-05-13 11:48:04,2,1023,802,579,539,655,887,563.02,90.2
2025-05-13 11:48:06,2,1022,815,581,549,662,888,560.36,96.55
2025-05-13 11:48:08,2,1023,813,585,543,661,893,563.24,89.68
2025-05-13 11:48:10,2,1023,821,575,545,659,894,565.92,83.28
2025-05-13 11:48:12,2,1022,819,572,541,657,890,564.52,86.62
2025-05-13 11:48:14,2,1022,813,571,542,655,885,561.78,93.16
2025-05-13 11:48:16,2,1023,807,569,541,655,885,561.16,94.64
