Timestamp,ContactCount,Sensor1,Sensor2,Sensor3,Sensor4,Sensor5,Sensor6,WeightSensorAvg,Weight
2025-05-13 10:26:01,1,932,751,617,555,678,894,442.42,377.92
2025-05-13 10:26:03,1,921,736,602,544,655,870,517.18,199.56
2025-05-13 10:26:05,2,910,722,588,531,644,854,508.3,220.75
2025-05-13 10:26:07,2,904,715,582,522,635,854,506.88,224.13
2025-05-13 10:26:09,2,911,723,590,527,640,857,511.66,212.73
2025-05-13 10:26:11,1,942,749,609,546,664,892,528.9,171.6
2025-05-13 10:26:13,1,923,717,604,551,666,893,534.88,157.33
2025-05-13 10:26:15,2,946,739,595,548,665,893,530.06,168.83
2025-05-13 10:26:17,1,921,742,600,558,676,911,531.52,165.35
2025-05-13 10:26:19,2,921,731,591,553,662,894,537.02,152.23
2025-05-13 10:26:21,2,899,718,572,436,605,863,527.7,174.46
2025-05-13 10:26:24,2,891,711,579,535,636,862,511.22,213.78
2025-05-13 10:26:26,2,884,705,568,527,629,846,506.46,225.14
2025-05-13 10:26:28,2,887,709,571,534,646,870,518.22,197.08
2025-05-13 10:26:30,2,896,714,578,534,639,845,375.66,537.18
2025-05-13 10:26:34,2,924,707,587,551,662,897,272.72,782.77
2025-05-13 10:26:36,2,897,719,570,538,640,860,507.32,223.08
2025-05-13 10:26:38,2,891,708,566,538,641,856,505.14,228.28
2025-05-13 10:26:40,2,883,701,577,541,644,869,513.72,207.82
2025-05-13 10:26:42,2,895,732,581,544,656,879,520.56,191.5
2025-05-13 10:26:45,2,903,725,567,537,642,862,511.72,212.59
2025-05-13 10:26:47,2,893,715,559,528,635,854,522.08,187.87
2025-05-13 10:26:49,2,888,712,562,530,635,858,353.62,589.77
2025-05-13 10:27:08,2,878,782,569,529,629,848,539.5,146.31
2025-05-13 10:27:10,3,924,751,576,531,638,189,180.12,1003.68
2025-05-13 10:27:12,1,922,734,603,536,646,883,518.24,197.03
2025-05-13 10:27:14,2,908,725,598,543,645,874,515.2,204.28
2025-05-13 10:27:16,2,890,712,584,528,633,859,512.28,211.25
2025-05-13 10:27:18,2,895,716,581,531,634,850,524.42,182.29
2025-05-13 10:27:20,1,940,765,609,556,657,881,521.32,189.68
2025-05-13 10:27:28,1,912,740,614,547,644,869,515.28,204.09
2025-05-13 10:27:31,2,914,717,596,535,637,857,513.54,208.24
2025-05-13 10:27:33,2,884,710,594,537,638,860,515.74,203.0
2025-05-13 10:27:35,2,878,708,585,547,659,884,525.68,179.28
2025-05-13 10:27:37,2,880,711,581,531,632,851,509.36,218.22
2025-05-13 10:27:39,2,891,723,591,540,641,862,502.92,233.58
2025-05-13 10:27:41,2,867,704,572,524,625,846,511.5,213.11
2025-05-13 10:27:43,2,888,716,588,534,636,858,514.48,206.0
2025-05-13 10:27:45,2,887,717,585,537,639,862,516.92,200.18
2025-05-13 10:27:47,2,883,719,586,536,638,862,516.96,200.09
2025-05-13 10:27:49,2,880,720,584,535,639,863,520.12,192.55
2025-05-13 10:27:51,2,888,721,586,532,635,863,515.8,202.85
2025-05-13 10:27:54,2,898,724,596,547,652,882,532.3,163.49
2025-05-13 10:27:56,2,903,735,590,549,653,877,124.42,1136.57
2025-05-13 10:28:00,1,913,760,618,565,656,891,525.78,179.04
2025-05-13 10:28:02,2,897,731,594,535,645,873,196.58,964.42
2025-05-13 10:28:10,3,915,787,597,551,630,354,0.72,1431.68
2025-05-13 10:28:17,2,887,739,580,542,649,876,525.28,180.24
2025-05-13 10:28:25,2,920,756,615,557,332,902,151.14,1072.82
2025-05-13 10:28:27,3,908,746,605,11,0,0,0.6,1431.97
2025-05-13 10:28:35,2,850,709,598,537,646,894,367.08,557.65
2025-05-13 10:28:40,2,374,735,620,565,646,873,523.36,184.82
2025-05-13 10:28:42,3,875,717,587,543,643,424,0.3,1432.68
2025-05-13 10:28:44,2,864,726,580,533,635,868,514.68,205.52
2025-05-13 10:28:46,2,883,723,581,533,638,858,510.44,215.64
2025-05-13 10:28:48,2,878,722,580,533,642,865,514.96,204.86
2025-05-13 10:28:50,2,879,719,578,531,639,859,512.14,211.58
2025-05-13 10:28:52,2,867,708,568,524,633,854,510.7,215.02
2025-05-13 10:28:54,2,872,708,566,521,632,855,512.52,210.68
2025-05-13 10:28:56,2,869,712,569,526,638,861,515.16,204.38
2025-05-13 10:28:58,3,870,710,572,525,576,851,193.62,971.48
2025-05-13 10:29:03,5,0,101,613,523,111,0,215.0,920.47
2025-05-13 10:29:15,3,0,398,634,560,653,875,518.92,195.41
2025-05-13 10:29:24,1,919,744,604,546,650,821,515.56,203.43
