Timestamp,ContactCount,Sensor1,Sensor2,Sensor3,Sensor4,Sensor5,Sensor6,WeightSensorAvg,Weight
2025-05-13 11:32:57,1,1017,794,635,575,697,924,537.5,151.08
2025-05-13 11:32:59,1,1021,780,627,570,689,904,538.86,147.84
2025-05-13 11:33:03,2,1003,770,598,560,672,893,532.68,162.58
2025-05-13 11:33:06,2,1006,771,596,552,670,888,532.76,162.39
2025-05-13 11:33:08,1,1008,791,616,556,676,904,535.32,156.28
2025-05-13 11:33:10,1,989,784,611,552,667,904,533.06,161.68
2025-05-13 11:33:12,2,924,720,575,519,636,889,522.5,186.87
2025-05-13 11:33:14,2,970,746,559,538,651,876,488.32,268.41
2025-05-13 11:33:18,2,967,731,579,526,645,878,506.56,224.9
2025-05-13 11:33:20,2,979,752,594,530,636,878,519.5,194.03
2025-05-13 11:33:22,2,908,712,563,514,631,857,499.98,240.59
2025-05-13 11:33:24,2,976,780,599,550,660,883,523.56,184.34
2025-05-13 11:33:27,2,971,758,593,538,645,879,518.1,197.37
2025-05-13 11:33:29,1,974,761,602,538,652,879,517.48,198.84
2025-05-13 11:33:31,2,972,764,596,544,653,886,523.96,183.39
2025-05-13 11:33:33,1,962,766,600,548,657,890,527.1,175.89
2025-05-13 11:33:35,2,981,765,599,545,658,886,524.32,182.53
2025-05-13 11:33:37,2,964,757,593,540,650,876,513.22,209.01
2025-05-13 11:33:39,2,952,746,584,531,641,864,507.02,223.8
2025-05-13 11:33:41,2,965,755,592,538,653,883,524.44,182.24
2025-05-13 11:33:43,1,979,763,600,535,647,870,505.52,227.38
2025-05-13 11:33:50,2,951,630,478,537,646,891,544.64,134.05
2025-05-13 11:33:52,2,940,696,562,547,659,892,545.3,132.47
2025-05-13 11:33:54,1,993,730,600,549,651,880,534.42,158.43
2025-05-13 11:33:56,2,987,725,597,547,649,885,538.26,149.27
2025-05-13 11:33:58,2,963,707,573,538,645,874,537.18,151.85
2025-05-13 11:34:00,2,933,695,563,518,621,846,514.56,205.81
2025-05-13 11:34:02,2,941,698,561,515,609,828,512.78,210.06
2025-05-13 11:34:19,2,941,731,554,521,638,859,509.66,217.5
2025-05-13 11:34:21,2,932,720,540,501,618,827,501.3,237.45
2025-05-13 11:34:23,2,924,721,532,497,610,809,497.8,245.8
2025-05-13 11:34:25,2,927,716,541,504,629,818,494.1,254.62
2025-05-13 11:34:27,2,936,735,548,515,623,840,506.9,224.09
2025-05-13 11:34:29,2,987,760,566,526,647,868,520.6,191.4
2025-05-13 11:34:31,2,985,759,559,521,642,837,482.64,281.96
2025-05-13 11:34:33,2,969,748,557,526,639,840,511.82,212.35
2025-05-13 11:34:36,2,957,741,558,524,644,855,498.04,245.22
2025-05-13 11:34:40,2,954,732,540,502,640,852,507.02,223.8
2025-05-13 11:34:42,2,950,751,556,509,639,873,513.38,208.63
2025-05-13 11:34:44,2,910,749,563,532,646,869,518.84,195.6
2025-05-13 11:34:46,2,947,732,562,517,630,856,499.84,240.93
2025-05-13 11:34:48,2,952,746,565,526,620,832,485.28,275.66
2025-05-13 11:35:01,2,909,724,550,516,626,842,492.86,257.58
2025-05-13 11:35:03,2,925,730,549,517,630,843,493.1,257.01
2025-05-13 11:35:05,2,899,709,531,495,611,825,490.88,262.3
2025-05-13 11:35:07,2,917,700,101,521,645,876,190.38,979.21
2025-05-13 11:35:09,2,925,741,562,517,634,879,508.42,220.46
2025-05-13 11:35:11,2,955,761,567,531,656,878,517.52,198.75
2025-05-13 11:35:13,2,950,754,567,526,642,872,511.1,214.07
2025-05-13 11:35:15,2,960,762,567,530,650,867,517.62,198.51
2025-05-13 11:35:17,2,947,765,566,530,654,879,519.14,194.88
2025-05-13 11:35:20,2,946,754,560,526,648,870,514.34,206.34
2025-05-13 11:35:22,2,945,754,559,525,646,872,514.24,206.57
2025-05-13 11:35:24,2,947,753,560,524,652,876,515.84,202.76
2025-05-13 11:35:26,2,946,755,558,523,648,875,516.12,202.09
2025-05-13 11:35:28,2,954,756,567,525,648,879,515.32,204.0
2025-05-13 11:35:30,2,951,751,562,528,648,873,514.34,206.34
2025-05-13 11:35:34,3,896,718,520,484,592,795,487.04,271.47
2025-05-13 11:35:40,2,923,754,561,529,632,851,506.8,224.32
2025-05-13 11:35:43,3,562,748,572,538,652,884,512.6,210.49
2025-05-13 11:35:45,2,944,758,559,534,641,863,505.54,227.33
2025-05-13 11:35:47,2,953,766,572,526,646,876,509.14,218.74
2025-05-13 11:35:49,2,964,766,564,514,644,859,517.94,197.75
2025-05-13 11:35:55,2,940,755,574,540,643,860,509.36,218.22
2025-05-13 11:35:57,2,953,762,577,531,650,869,526.34,177.71
2025-05-13 11:35:59,2,951,763,574,533,648,861,516.66,200.8
2025-05-13 11:36:14,2,968,747,578,536,662,872,522.72,186.34
2025-05-13 11:36:16,2,1000,761,591,531,658,859,522.06,187.92
2025-05-13 11:36:18,2,981,766,585,528,656,867,523.76,183.86
2025-05-13 11:36:20,2,961,763,562,532,658,864,520.3,192.12
2025-05-13 11:36:22,2,962,771,574,532,652,864,512.92,209.72
2025-05-13 11:36:24,2,944,749,558,505,628,835,509.74,217.31
2025-05-13 11:36:27,2,948,658,479,506,650,866,514.56,205.81
2025-05-13 11:36:29,2,930,738,555,508,631,843,502.48,234.63
2025-05-13 11:36:31,2,928,737,557,514,634,855,514.2,206.67
2025-05-13 11:36:33,2,949,744,559,520,637,853,514.2,206.67
2025-05-13 11:36:35,2,915,734,567,520,630,832,496.8,248.18
2025-05-13 11:36:37,2,904,718,538,498,613,816,491.44,260.97
2025-05-13 11:36:39,2,906,722,540,498,614,812,492.68,258.01
2025-05-13 11:36:41,2,898,715,537,504,610,814,510.3,215.97
2025-05-13 11:36:43,2,945,747,561,519,636,833,499.3,242.22
2025-05-13 11:36:45,2,907,735,554,504,621,823,504.78,229.14
2025-05-13 11:36:47,2,914,752,562,523,637,854,504.42,230.0
2025-05-13 11:36:50,2,906,743,562,524,640,855,515.12,204.48
2025-05-13 11:36:52,2,907,722,542,505,614,820,499.9,240.79
2025-05-13 11:36:54,2,911,751,559,507,633,857,515.46,203.66
2025-05-13 11:36:56,2,957,767,579,522,647,866,519.16,194.84
2025-05-13 11:36:58,2,954,762,571,523,645,863,520.54,191.54
2025-05-13 11:37:00,2,947,755,566,525,641,861,519.82,193.26
2025-05-13 11:37:02,2,948,753,565,516,633,846,501.0,238.16
2025-05-13 11:37:04,2,936,743,541,511,634,845,498.02,245.27
2025-05-13 11:37:06,2,920,742,546,515,634,864,496.4,249.14
2025-05-13 11:37:15,2,946,750,563,525,613,826,490.6,262.97
2025-05-13 11:37:17,2,915,729,239,279,603,813,500.1,240.31
2025-05-13 11:37:19,2,941,744,556,524,640,854,510.18,216.26
2025-05-13 11:37:21,2,940,750,557,522,636,851,499.76,241.12
2025-05-13 11:37:23,2,922,727,544,507,619,825,491.3,261.3
2025-05-13 11:37:25,2,937,739,556,518,630,845,507.0,223.85
2025-05-13 11:37:27,2,917,711,539,514,625,850,511.38,213.4
2025-05-13 11:37:31,2,953,764,576,529,646,867,514.94,204.9
2025-05-13 11:37:34,2,959,763,566,521,633,850,503.3,232.67
2025-05-13 11:37:36,2,932,753,556,511,631,839,500.3,239.83
2025-05-13 11:37:38,2,916,743,548,511,627,841,499.6,241.5
2025-05-13 11:37:40,2,917,751,559,502,621,840,503.3,232.67
2025-05-13 11:37:42,2,951,798,575,528,655,861,522.96,185.77
2025-05-13 11:37:44,2,957,811,580,532,663,871,510.0,216.69
2025-05-13 11:37:46,2,966,764,579,522,646,859,510.1,216.45
2025-05-13 11:37:48,2,966,776,588,537,656,882,526.52,177.28
2025-05-13 11:37:50,2,962,763,582,535,655,882,526.38,177.61
2025-05-13 11:37:52,2,958,763,559,518,649,874,503.7,231.72
2025-05-13 11:37:57,2,924,741,523,512,623,868,501.24,237.59
2025-05-13 11:37:59,2,962,760,575,531,645,867,512.74,210.15
2025-05-13 11:38:01,2,955,753,567,518,632,856,507.62,222.37
2025-05-13 11:38:03,2,918,732,548,505,616,829,504.98,228.67
2025-05-13 11:38:05,2,966,763,575,534,650,872,520.64,191.31
2025-05-13 11:38:07,2,962,762,572,531,643,864,514.94,204.9
2025-05-13 11:38:09,2,961,759,572,531,648,872,520.18,192.4
2025-05-13 11:38:11,2,965,765,576,534,649,871,517.78,198.13
