Timestamp,ContactCount,Sensor1,Sensor2,Sensor3,Sensor4,Sensor5,Sensor6,WeightSensorAvg,Weight
2025-05-13 11:11:50,1,915,740,616,565,646,877,519.18,194.79
2025-05-13 11:11:55,1,934,751,629,576,681,912,543.78,136.1
2025-05-13 11:11:57,1,929,744,615,568,673,899,534.66,157.86
2025-05-13 11:11:59,1,917,735,607,561,667,894,525.42,179.9
2025-05-13 11:12:01,1,926,742,617,568,666,888,521.72,188.73
2025-05-13 11:12:03,1,944,737,650,584,691,928,539.6,146.07
2025-05-13 11:12:05,2,911,710,599,545,647,870,521.36,189.59
2025-05-13 11:12:07,2,886,691,580,538,664,892,523.12,185.39
2025-05-13 11:12:09,2,885,684,568,535,640,867,511.56,212.97
2025-05-13 11:12:11,2,889,686,574,539,638,872,509.06,218.93
2025-05-13 11:12:13,2,862,673,561,526,636,861,512.34,211.11
2025-05-13 11:12:16,2,892,696,589,544,648,858,10.48,1408.39
2025-05-13 11:12:18,2,871,676,588,546,651,883,517.56,198.65
2025-05-13 11:12:20,2,881,680,571,533,642,868,510.36,215.83
2025-05-13 11:12:22,2,907,701,592,548,663,894,529.1,171.12
2025-05-13 11:12:24,2,874,677,566,527,636,864,510.12,216.4
2025-05-13 11:12:26,2,872,678,566,528,638,862,509.96,216.79
2025-05-13 11:12:28,2,882,683,573,533,641,871,421.68,427.39
2025-05-13 11:12:32,2,877,676,577,529,641,865,517.2,199.51
2025-05-13 11:12:34,2,871,669,571,523,631,871,252.32,831.44
2025-05-13 11:12:41,3,423,699,589,562,667,895,521.38,189.54
2025-05-13 11:12:43,2,904,704,588,548,660,892,523.56,184.34
2025-05-13 11:12:45,2,898,697,585,545,661,888,525.68,179.28
2025-05-13 11:12:47,2,879,684,567,529,639,860,497.08,247.51
2025-05-13 11:12:49,2,852,661,550,515,625,839,492.44,258.58
2025-05-13 11:12:57,2,895,688,580,541,641,856,503.06,233.25
2025-05-13 11:13:00,2,858,665,556,522,630,844,506.68,224.61
2025-05-13 11:13:02,2,856,669,554,520,628,848,499.98,240.59
2025-05-13 11:13:04,2,854,662,551,518,629,846,502.32,235.01
2025-05-13 11:13:06,2,854,666,553,518,625,849,515.76,202.95
2025-05-13 11:13:10,2,886,691,572,528,647,864,464.38,325.53
2025-05-13 11:13:12,2,873,679,569,529,644,871,511.06,214.16
2025-05-13 11:13:14,2,885,694,588,543,664,884,527.4,175.18
