Timestamp,ContactCount,Sensor1,Sensor2,Sensor3,Sensor4,Sensor5,Sensor6,WeightSensorAvg,Weight
2025-05-13 11:57:25,2,1023,828,587,549,673,908,606.54,-13.63
2025-05-13 11:57:27,1,1023,817,607,554,671,915,579.8,50.17
2025-05-13 11:57:29,4,883,749,501,419,568,356,538.04,149.79
2025-05-13 11:57:31,2,993,783,573,530,633,863,562.22,92.11
2025-05-13 11:57:35,2,1005,816,565,533,647,875,575.08,61.43
2025-05-13 11:57:42,2,983,810,574,541,656,896,576.76,57.42
2025-05-13 11:57:44,2,1019,808,572,540,652,883,568.34,77.51
2025-05-13 11:57:46,2,1018,803,569,533,649,880,564.04,87.77
2025-05-13 11:57:48,2,1013,798,565,530,647,876,565.16,85.09
2025-05-13 11:57:50,2,1017,796,571,532,647,878,563.56,88.91
2025-05-13 11:57:52,2,1022,806,570,530,648,884,564.86,85.81
2025-05-13 11:57:54,2,1022,812,568,538,651,883,565.32,84.71
2025-05-13 11:57:56,2,1023,812,597,546,651,890,561.64,93.49
2025-05-13 11:57:58,2,993,843,587,547,664,895,579.22,51.55
2025-05-13 11:58:01,2,1022,806,580,539,650,897,570.54,72.26
2025-05-13 11:58:03,2,1023,821,575,542,653,897,587.74,31.23
2025-05-13 11:58:05,2,1004,794,576,538,651,882,583.3,41.82
2025-05-13 11:58:07,2,1023,801,557,533,636,868,556.58,105.56
2025-05-13 11:58:09,2,1023,814,571,540,649,885,571.96,68.87
2025-05-13 11:58:13,2,1023,802,570,539,653,884,577.94,54.61
2025-05-13 11:58:15,2,1023,822,582,539,655,899,570.4,72.59
2025-05-13 11:58:17,2,1023,816,583,550,652,895,730.78,-310.03
2025-05-13 11:58:19,2,1021,803,591,541,654,890,583.4,41.58
2025-05-13 11:58:22,2,1023,800,581,541,652,891,581.36,46.45
2025-05-13 11:58:24,2,1023,796,571,539,650,889,581.14,46.97
2025-05-13 11:58:26,2,1023,796,569,539,651,886,582.18,44.49
2025-05-13 11:58:28,2,1023,794,570,533,647,883,575.78,59.76
2025-05-13 11:58:30,2,1022,795,569,535,649,884,573.24,65.82
2025-05-13 11:58:32,2,1023,802,570,537,648,886,573.1,66.15
2025-05-13 11:58:34,2,1023,804,576,543,651,897,571.66,69.59
2025-05-13 11:58:36,2,1023,795,586,550,656,898,571.1,70.92
2025-05-13 11:58:38,2,1023,819,581,550,654,894,578.34,53.65
2025-05-13 11:58:40,1,1023,810,602,553,664,903,593.58,17.29
2025-05-13 11:58:42,2,1022,807,589,547,663,898,590.52,24.59
2025-05-13 11:58:45,2,1023,810,590,546,658,896,589.0,28.22
2025-05-13 11:58:47,2,1023,810,588,545,661,894,587.8,31.08
2025-05-13 11:58:49,2,1022,813,588,548,663,896,589.42,27.22
2025-05-13 11:58:51,2,1023,813,588,545,661,895,588.04,30.51
2025-05-13 11:58:53,2,1023,811,579,545,661,895,587.3,32.28
2025-05-13 11:58:55,2,1023,827,577,544,661,893,584.34,39.34
2025-05-13 11:58:57,2,1023,810,571,542,661,892,585.0,37.76
2025-05-13 11:58:59,2,1023,812,574,540,661,892,586.0,35.38
2025-05-13 11:59:01,2,1023,808,571,540,659,892,584.88,38.05
2025-05-13 11:59:03,2,1023,806,569,540,660,892,583.44,41.48
2025-05-13 11:59:06,2,1023,805,568,540,659,891,583.56,41.2
2025-05-13 11:59:08,2,1023,805,568,541,659,890,582.58,43.54
2025-05-13 11:59:10,2,1023,808,569,543,657,891,581.74,45.54
2025-05-13 11:59:12,2,1022,804,567,540,657,890,583.18,42.1
